birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
,Hansi Hochmuth,Christian Hirschmueller,,http://www.atpworldtour.com/en/players/christian-hirschmueller/hb04/overview,GER,,1993.03.11,1046,1025,"Right-Handed, Two-Handed Backhand",23,11
,,Fabio Mercuri,,http://www.atpworldtour.com/en/players/fabio-mercuri/mn09/overview,ITA,,1994.02.09,1047,1049,"Right-Handed, Two-Handed Backhand",25,11
,,Cristian Carli,,http://www.atpworldtour.com/en/players/cristian-carli/cg64/overview,ITA,,1996.03.25,1048,1026,,28,11
"Haarlem, Netherlands","Right-Handed, One-Handed Backhand",Kevin Griekspoor,181,http://www.atpworldtour.com/en/players/kevin-griekspoor/gc53/overview,NED,193,1991.01.10,1049,1050,"Nieuw Vennep, Netherlands",2,10
,,Laslo Urrutia Fuentes,,http://www.atpworldtour.com/en/players/laslo-urrutia-fuentes/u113/overview,CHI,,1990.03.22,1049,1050,"Right-Handed, Two-Handed Backhand",2,10
,,Itsuki Imina,,http://www.atpworldtour.com/en/players/itsuki-imina/i402/overview,JPN,,1994.06.02,1051,1052,,2,10
"Vienna, Austria","Right-Handed, Two-Handed Backhand",Jan Poskocil,165,http://www.atpworldtour.com/en/players/jan-poskocil/pg58/overview,AUT,175,1989.05.27,1052,1053,"Opponitz, Austria",3,10
,,Richard Becker,,http://www.atpworldtour.com/en/players/richard-becker/bg63/overview,GER,,1991.01.29,1052,1053,,3,10
,,Bjorn Thomson,,http://www.atpworldtour.com/en/players/bjorn-thomson/te19/overview,IRL,,1997.10.31,1054,1055,,4,10
,,Julien Demois,,http://www.atpworldtour.com/en/players/julien-demois/db21/overview,FRA,,1993.11.20,1055,1056,,4,10
,,Youssef Hossam,,http://www.atpworldtour.com/en/players/youssef-hossam/hd67/overview,EGY,,1998.06.03,1056,1057,,5,10
,,Alban Meuffels,,http://www.atpworldtour.com/en/players/alban-meuffels/ml71/overview,NED,,1992.08.24,1057,1058,,7,10
,,Jan Zielinski,,http://www.atpworldtour.com/en/players/jan-zielinski/z423/overview,POL,,1996.11.16,1057,1058,"Right-Handed, Two-Handed Backhand",7,10
,,Abdullah Maqdes,,http://www.atpworldtour.com/en/players/abdullah-maqdes/mb94/overview,KUW,,1987.03.31,1057,1058,,7,10
,,Victor Nunez,,http://www.atpworldtour.com/en/players/victor-nunez/n583/overview,CHI,,1991.05.25,1060,1061,,9,10
"Ibague, Colombia",Michael Quintero,Daniel Mora,154,http://www.atpworldtour.com/en/players/daniel-mora/mu08/overview,COL,,1996.06.21,1061,1062,"Right-Handed, Two-Handed Backhand",11,10
,,Medy Chettar,,http://www.atpworldtour.com/en/players/medy-chettar/ce99/overview,FRA,,1992.03.08,1062,1063,,11,10
Scottsdale,"Right-Handed, Two-Handed Backhand",John Lamble,175,http://www.atpworldtour.com/en/players/john-lamble/lb20/overview,USA,183,1992.03.31,1063,1065,"Saratoga, California, USA",11,10
,,Laurens Verboven,,http://www.atpworldtour.com/en/players/laurens-verboven/va74/overview,BEL,,1997.04.18,1064,1064,,12,10
,,Thomas Brechemier,,http://www.atpworldtour.com/en/players/thomas-brechemier/bm17/overview,FRA,,1996.06.28,1065,1140,,12,10
"Napoli, Italy",,Giovanni Rizzuti,165,http://www.atpworldtour.com/en/players/giovanni-rizzuti/rd10/overview,ITA,178,1995.05.13,1066,1039,"Right-Handed, Two-Handed Backhand",12,10
,,Julian Onken,,http://www.atpworldtour.com/en/players/julian-onken/o456/overview,GER,,1988.05.29,1067,1067,Right-Handed,13,10
Monaco,Gianni Ocleppo,Julian Ocleppo,176,http://www.atpworldtour.com/en/players/julian-ocleppo/o507/overview,ITA,,1997.08.01,1068,1068,"Right-Handed, Two-Handed Backhand",14,10
,,Billy Harris,,http://www.atpworldtour.com/en/players/billy-harris/hd68/overview,GBR,,1995.01.25,1069,1070,,14,10
"Toronto, Canada",,David Volfson,,http://www.atpworldtour.com/en/players/david-volfson/va19/overview,CAN,,1997.09.14,1070,1072,"Right-Handed, Two-Handed Backhand",14,10
"Berazategui, Argentina",Gaston Briano,Juan Pablo Ficovich,172,http://www.atpworldtour.com/en/players/juan-pablo-ficovich/fa43/overview,ARG,,1997.01.24,1071,1074,"Right-Handed, Two-Handed Backhand",15,10
"Recanati, Italy",Right-Handed,Giacomo Miccini,185,http://www.atpworldtour.com/en/players/giacomo-miccini/mh27/overview,ITA,185,1992.07.05,1071,1074,"Recanati, Italy",15,10
"Sant Joan d'Alacant, Spain",José María Cortés,Aaron Cortes Alcaraz,174,http://www.atpworldtour.com/en/players/aaron-cortes-alcaraz/cg47/overview,ESP,180,1994.11.02,1073,1077,"Right-Handed, Two-Handed Backhand",17,10
"Mexico City, Mexico",David Jasso,Carlos Ramirez Utermann,178,http://www.atpworldtour.com/en/players/carlos-ramirez-utermann/rc92/overview,MEX,191,1995.08.22,1074,1076,"Right-Handed, One-Handed Backhand",18,10
,,Paul Woerner,,http://www.atpworldtour.com/en/players/paul-woerner/w725/overview,GER,,1996.08.23,1075,1152,"Right-Handed, Two-Handed Backhand",18,10
"Moscow, Russia","Left-Handed, Two-Handed Backhand",Dmitry Surchenko,181,http://www.atpworldtour.com/en/players/dmitry-surchenko/sn04/overview,RUS,188,1990.05.02,1076,1078,"Moscow, Russia",19,10
"Reading, Great Britain","Right-Handed, Two-Handed Backhand",Robbie Ridout,148,http://www.atpworldtour.com/en/players/robbie-ridout/rg39/overview,GBR,157,1995.04.19,1077,1079,"Twyford, Great Britain",20,10
,,Mor Bulis,,http://www.atpworldtour.com/en/players/mor-bulis/bl60/overview,ISR,,1996.04.18,1078,1080,,20,10
,,Jose Fco. Vidal Azorin,,http://www.atpworldtour.com/en/players/jose-fco-vidal-azorin/v846/overview,ESP,,1993.06.12,1079,1081,,21,10
,,Juan Manuel Matute,,http://www.atpworldtour.com/en/players/juan-manuel-matute/mm32/overview,ARG,,1991.12.28,1080,1082,"Right-Handed, Two-Handed Backhand",21,10
"Viriat, France","Right-Handed, Two-Handed Backhand",Guillaume Rufin,181,http://www.atpworldtour.com/en/players/guillaume-rufin/ra17/overview,FRA,188,1990.05.26,1081,1083,"Charnay, France",2,9
,,Florian Reynet,,http://www.atpworldtour.com/en/players/florian-reynet/r895/overview,FRA,,1986.04.14,1081,1083,,2,9
"Johannesburg, South Africa","Right-Handed, Two-Handed Backhand",Dean O'Brien,165,http://www.atpworldtour.com/en/players/dean-obrien/o420/overview,RSA,178,1990.05.15,1083,1085,"Atlanta, Georgia",3,9
Chascomús,"Right-Handed, Two-Handed Backhand",Gregorio Cordonnier,176,http://www.atpworldtour.com/en/players/gregorio-cordonnier/cg84/overview,ARG,198,1996.02.02,1084,1086,"Barranquilla, Colombia",5,9
,,Jolan Cailleau,,http://www.atpworldtour.com/en/players/jolan-cailleau/ci49/overview,BEL,,1995.06.28,1085,1087,,6,9
Friedrichshafen,Right-Handed,Jakob Sude,196,http://www.atpworldtour.com/en/players/jakob-sude/sl66/overview,GER,193,1991.06.18,1086,1088,Germany,6,9
,,Rodrigo Banzer,,http://www.atpworldtour.com/en/players/rodrigo-banzer/bm18/overview,BOL,,1997.01.29,1087,1089,,7,9
,,Rigele Te,,http://www.atpworldtour.com/en/players/rigele-te/tg30/overview,CHN,,1997.10.09,1088,1222,,9,9
,,Marc Fornell-Mestres,,http://www.atpworldtour.com/en/players/marc-fornell-mestres/f375/overview,ESP,,1982.01.26,1089,1090,"Right-Handed, Two-Handed Backhand",9,9
"Okayama, Japan",,Ken Onoda,165,http://www.atpworldtour.com/en/players/ken-onoda/o428/overview,JPN,185,1988.04.13,1090,1091,"Right-Handed, One-Handed Backhand",10,9
,,Danail Tarpov,,http://www.atpworldtour.com/en/players/danail-tarpov/t970/overview,BUL,,1988.11.24,1090,1091,Right-Handed,10,9
,,Amirvala Madanchi,,http://www.atpworldtour.com/en/players/amirvala-madanchi/mm99/overview,IRI,,1994.07.17,1090,1095,"Right-Handed, Two-Handed Backhand",10,9
"Greensboro, NC, USA",Right-Handed,Andrew Carter,160,http://www.atpworldtour.com/en/players/andrew-carter/cg49/overview,USA,170,1990.03.28,1090,1091,Summerfield,10,9
,,Ryota Kishi,,http://www.atpworldtour.com/en/players/ryota-kishi/kd69/overview,JPN,,1993.06.30,1094,1097,,11,9
,,Yassine Idmbarek,,http://www.atpworldtour.com/en/players/yassine-idmbarek/i201/overview,MAR,,1986.12.07,1095,1098,Morocco,12,9
"Saitama, Japan","Right-Handed, Two-Handed Backhand",Keisuke Watanuki,148,http://www.atpworldtour.com/en/players/keisuke-watanuki/w736/overview,JPN,168,1993.11.19,1096,1099,"Kanagawa, Japan",12,9
,,Matteo Tinelli,,http://www.atpworldtour.com/en/players/matteo-tinelli/tg68/overview,ITA,,1997.02.05,1097,1141,,12,9
"Mansfield, England",,Joshua Ward Hibbert,201,http://www.atpworldtour.com/en/players/joshua-ward-hibbert/w700/overview,GBR,196,1994.01.25,1098,1069,"Right-Handed, One-Handed Backhand",13,9
"Vladikavkaz, Russia","Right-Handed, Two-Handed Backhand",Richard Muzaev,163,http://www.atpworldtour.com/en/players/richard-muzaev/mj56/overview,RUS,178,1992.03.21,1098,1066,"Moscow, Russia",13,9
"Chichester, England",Barry Fulcher,Keelan Oakley,192,http://www.atpworldtour.com/en/players/keelan-oakley/o432/overview,GBR,180,1992.01.21,1100,1101,Right-Handed,13,9
Pereira,Right-Handed,Felipe Escobar,143,http://www.atpworldtour.com/en/players/felipe-escobar/e784/overview,COL,175,1994.05.04,1101,1073,"Pereira, Colombia",14,9
"Toronto, Canada","Left-Handed, Two-Handed Backhand",Alejandro Tabilo,176,http://www.atpworldtour.com/en/players/alejandro-tabilo/te30/overview,CAN,193,1997.06.02,1102,1102,"Boynton Beach, Florida",14,9
,,Giorgi Javakhishvili,,http://www.atpworldtour.com/en/players/giorgi-javakhishvili/j549/overview,GEO,,1995.10.23,1103,1103,"Right-Handed, Two-Handed Backhand",14,9
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Alan Kohen,159,http://www.atpworldtour.com/en/players/alan-kohen/kd99/overview,ARG,,1993.04.20,1103,1103,Argentina,14,9
"Hyogo, Japan","Right-Handed, Two-Handed Backhand",Ken Onishi,148,http://www.atpworldtour.com/en/players/ken-onishi/o524/overview,JPN,170,1996.02.18,1105,1105,Japan,15,9
"Mexico City, Mexico",Right-Handed,Alberto Rojas-Maldonado,154,http://www.atpworldtour.com/en/players/alberto-rojas-maldonado/r916/overview,MEX,175,1988.02.27,1105,1105,"Mexico City, Mexico",15,9
,,Hugo Schott,,http://www.atpworldtour.com/en/players/hugo-schott/sq86/overview,FRA,,1996.09.05,1107,1109,,17,9
"Zaporozhye, Ukraine","Right-Handed, Two-Handed Backhand",Filipp Kekercheni,159,http://www.atpworldtour.com/en/players/filipp-kekercheni/ke97/overview,UKR,183,1995.08.10,1108,1111,"Bratislava, Slovakia",18,9
,,Ram Kapach,,http://www.atpworldtour.com/en/players/ram-kapach/ke41/overview,ISR,,1997.01.28,1109,1112,,19,9
"Rosario, Argentina","Right-Handed, One-Handed Backhand",Dante Gennaro,194,http://www.atpworldtour.com/en/players/dante-gennaro/gd61/overview,ARG,188,1993.05.14,1110,1114,"Rosario, Argentina",26,9
,,Muhammet Haylaz,,http://www.atpworldtour.com/en/players/muhammet-haylaz/hb28/overview,TUR,,1995.10.26,1111,1115,,30,9
,,Giulio Di Meo,,http://www.atpworldtour.com/en/players/giulio-di-meo/d629/overview,ITA,,1982.08.28,1112,1116,,1,8
,,Jonathan Hilaire,,http://www.atpworldtour.com/en/players/jonathan-hilaire/h673/overview,FRA,,1984.06.27,1113,1117,,2,8
,,Boris Conkic,,http://www.atpworldtour.com/en/players/boris-conkic/c990/overview,SRB,,1987.06.05,1114,1118,Serbia,2,8
,,Young-Hoon Jeong,,http://www.atpworldtour.com/en/players/young-hoon-jeong/j420/overview,KOR,,1989.07.28,1114,1118,,2,8
"Knoxville, Tennessee","Right-Handed, Two-Handed Backhand",Rhyne Williams,185,http://www.atpworldtour.com/en/players/rhyne-williams/w522/overview,USA,185,1991.03.22,1116,1122,"Tampa, Florida, USA",4,8
,,Josko Topic,,http://www.atpworldtour.com/en/players/josko-topic/t762/overview,CRO,,1983.12.08,1117,1121,,5,8
"Ramnicu Valcea, Romania","Right-Handed, One-Handed Backhand",Darius Florin Bragusi,163,http://www.atpworldtour.com/en/players/darius-florin-bragusi/bj43/overview,ROU,180,1993.06.18,1118,1123,Norman,5,8
"Bogota, Colombia","Left-Handed, Two-Handed Backhand",Steffen Zornosa ,159,http://www.atpworldtour.com/en/players/steffen-zornosa/z264/overview,COL,178,1990.09.24,1119,1125,Colombia,6,8
,,Maksim Tikhomirov,,http://www.atpworldtour.com/en/players/maksim-tikhomirov/ta66/overview,USA,,1990.07.10,1120,1126,,7,8
,,Federico Bonacia,,http://www.atpworldtour.com/en/players/federico-bonacia/bm56/overview,ITA,,1997.01.14,1120,1126,,7,8
"Hiroshima, Japan","Right-Handed, Two-Handed Backhand",Renta Tokuda,152,http://www.atpworldtour.com/en/players/renta-tokuda/td55/overview,JPN,178,1998.03.29,1122,1128,"Kanagawa, Japan",7,8
"Montlucon, France","Right-Handed, Two-Handed Backhand",Valentin Nourrissat,185,http://www.atpworldtour.com/en/players/valentin-nourrissat/n675/overview,FRA,196,1991.08.09,1122,1128,"Clermont-Ferrand, France",7,8
,,Kamil Gajewski,,http://www.atpworldtour.com/en/players/kamil-gajewski/gg54/overview,POL,,1995.02.05,1124,1130,,7,8
"Taipei, Taiwan","Left-Handed, Two-Handed Backhand",Cheng-Peng Hsieh,176,http://www.atpworldtour.com/en/players/cheng-peng-hsieh/h939/overview,TPE,180,1991.09.22,1125,1132,"Taipei, Taiwan",8,8
"Philadelphia, PA, USA","Right-Handed, Two-Handed Backhand",Hunter Callahan,170,http://www.atpworldtour.com/en/players/hunter-callahan/cg63/overview,USA,191,1992.12.21,1126,1133,Florida,9,8
,,Ko Suzuki,,http://www.atpworldtour.com/en/players/ko-suzuki/sj67/overview,JPN,,1991.08.03,1126,1133,Left-Handed,9,8
"Busan, Korea",Gwkang Chun,Ju-Hae Moon,120,http://www.atpworldtour.com/en/players/ju-hae-moon/mh39/overview,KOR,170,1988.05.30,1126,1131,Left-Handed,9,8
,,Paul Cayre,,http://www.atpworldtour.com/en/players/paul-cayre/cg85/overview,FRA,,1995.04.26,1129,1135,,9,8
"Amsterdam, Netherlands",Left-Handed,Thomas Schoorel,,http://www.atpworldtour.com/en/players/thomas-schoorel/sj63/overview,NED,203,1989.04.08,1130,1094,"Amsterdam, Netherlands",9,8
,,Constantin Belot,,http://www.atpworldtour.com/en/players/constantin-belot/bg54/overview,FRA,,1991.02.20,1131,1096,Right-Handed,10,8
"Pune, India",,Jayesh Pungliya,146,http://www.atpworldtour.com/en/players/jayesh-pungliya/pm27/overview,IND,178,1996.09.22,1132,1136,"Right-Handed, Two-Handed Backhand",10,8
,,Nicolas Rosenzweig,,http://www.atpworldtour.com/en/players/nicolas-rosenzweig/rb13/overview,FRA,,1986.01.17,1132,1136,,10,8
,,Soichiro Moritani,,http://www.atpworldtour.com/en/players/soichiro-moritani/mo12/overview,JPN,,1994.08.12,1134,1138,"Right-Handed, Two-Handed Backhand",11,8
,,Hugo Daubias,,http://www.atpworldtour.com/en/players/hugo-daubias/d09n/overview,FRA,,1996.05.02,1135,1139,,11,8
,,Jan Blecha,,http://www.atpworldtour.com/en/players/jan-blecha/bf82/overview,CZE,,1989.03.18,1136,1143,,11,8
,,Olexiy Kolisnyk,,http://www.atpworldtour.com/en/players/olexiy-kolisnyk/kh75/overview,UKR,,1996.04.30,1137,1142,,12,8
"Kremenchuk, Ukraine","Right-Handed, Two-Handed Backhand",Vitaliy Sachko,150,http://www.atpworldtour.com/en/players/vitaliy-sachko/ss25/overview,UKR,183,1997.07.14,1138,1144,"Prostejov, Czech Republic",13,8
,,Wei Qiang Zheng,,http://www.atpworldtour.com/en/players/wei-qiang-zheng/z378/overview,CHN,,1996.06.22,1139,1100,,13,8
,,Bogdan Borza,,http://www.atpworldtour.com/en/players/bogdan-borza/bl78/overview,ROU,,1997.04.05,1140,1145,"Left-Handed, Two-Handed Backhand",13,8
"Harare, Zimbabwe","Right-Handed, One-Handed Backhand",Mark Fynn,165,http://www.atpworldtour.com/en/players/mark-fynn/f723/overview,ZIM,183,1985.04.16,1141,1146,"Harare, Zimbabwe",14,8
,,Oleg Khotkov,,http://www.atpworldtour.com/en/players/oleg-khotkov/kb81/overview,UKR,,1990.03.11,1142,1147,,15,8
,,Aoxiong Wang,,http://www.atpworldtour.com/en/players/aoxiong-wang/w693/overview,CHN,,1995.05.09,1143,1108,"Right-Handed, Two-Handed Backhand",16,8
"Riga, Latvia","Left-Handed, One-Handed Backhand",Janis Podzus,194,http://www.atpworldtour.com/en/players/janis-podzus/pg10/overview,LAT,193,1994.06.29,1144,1148,"Bauska, Latvia",16,8
"MTxico City, Mexico","Left-Handed, One-Handed Backhand",Mauricio Astorga,163,http://www.atpworldtour.com/en/players/mauricio-astorga/a803/overview,MEX,0,1991.06.19,1144,1148,"Canc\x1an, Mexico",16,8
"Melbourne, Australia","Right-Handed, Two-Handed Backhand",Aaron Addison,181,http://www.atpworldtour.com/en/players/aaron-addison/ad06/overview,AUS,193,1995.11.12,1146,1150,"Melbourne, Australia",17,8
,,Joshua Paris,,http://www.atpworldtour.com/en/players/joshua-paris/pj18/overview,GBR,,1996.03.06,1147,1151,Right-Handed,17,8
,,Tommaso Lago,,http://www.atpworldtour.com/en/players/tommaso-lago/la85/overview,ITA,,1992.04.09,1148,1152,,17,8
"Paris, France",Left-Handed,Romain Bauvy,181,http://www.atpworldtour.com/en/players/romain-bauvy/bk31/overview,FRA,185,1994.06.29,1149,1158,"Paris, France",18,8
,,Goran Markovic,,http://www.atpworldtour.com/en/players/goran-markovic/mq06/overview,SRB,,1995.09.17,1150,1155,"Right-Handed, Two-Handed Backhand",18,8
,,Jacopo Stefanini,,http://www.atpworldtour.com/en/players/jacopo-stefanini/su06/overview,ITA,,1996.04.11,1151,1156,,18,8
,,Fran Zvonimir Zgombic,,http://www.atpworldtour.com/en/players/fran-zvonimir-zgombic/z395/overview,CRO,,1996.01.24,1151,1110,,18,8
"Shymkent, Kazakhstan","Right-Handed, Two-Handed Backhand",Roman Khassanov,185,http://www.atpworldtour.com/en/players/roman-khassanov/hb24/overview,KAZ,191,1996.09.07,1153,1157,"Astana, Kazakhstan",19,8
"Massa, Italy","Right-Handed, One-Handed Backhand",Davide Della Tommasina,172,http://www.atpworldtour.com/en/players/davide-della-tommasina/d826/overview,ITA,180,1990.04.07,1154,1113,"Massa, Italy",20,8
,,Jaime Fermosell Delgado,,http://www.atpworldtour.com/en/players/jaime-fermosell-delgado/fa33/overview,ESP,,1997.12.06,1155,1160,,22,8
"Nassau, Bahamas",Right-Handed,Ryan Sweeting,184,http://www.atpworldtour.com/en/players/ryan-sweeting/sg87/overview,USA,196,1987.07.14,1156,1161,"Fort Lauderdale, Florida, USA",2,7
Gijon,"Right-Handed, Two-Handed Backhand",Axel Alvarez Llamas,195,http://www.atpworldtour.com/en/players/axel-alvarez-llamas/aa47/overview,ESP,191,1993.02.25,1157,1162,"Norman, Oklahoma",2,7
"College Park, GA, USA","Right-Handed, Two-Handed Backhand",Jarmere Jenkins,170,http://www.atpworldtour.com/en/players/jarmere-jenkins/j393/overview,USA,183,1990.11.25,1158,1166,"Cocnut Creek, Fl",3,7
,,David Biosca Girvent,,http://www.atpworldtour.com/en/players/david-biosca-girvent/bk46/overview,ESP,,1994.02.01,1159,1163,"Right-Handed, Two-Handed Backhand",3,7
,,Marek Rehacek,,http://www.atpworldtour.com/en/players/marek-rehacek/rd00/overview,CZE,,1996.04.12,1159,1163,,3,7
,,Luis Eduardo Morfin Friebel,,http://www.atpworldtour.com/en/players/luis-eduardo-morfin-friebel/mu02/overview,MEX,,1998.02.25,1161,1165,,3,7
Glenview,Right-Handed,Konrad Zieba,185,http://www.atpworldtour.com/en/players/konrad-zieba/z372/overview,USA,188,1995.07.22,1162,1167,Chicago,4,7
,,Borna Gojo,,http://www.atpworldtour.com/en/players/borna-gojo/gh92/overview,CRO,,1998.02.27,1162,1167,,4,7
"Slavonski Brod, Croatia",,Kristijan Mesaros,196,http://www.atpworldtour.com/en/players/kristijan-mesaros/mf90/overview,CRO,188,1988.07.02,1164,1169,,5,7
,,Chieh-Fu Wang,,http://www.atpworldtour.com/en/players/chieh-fu-wang/w679/overview,TPE,,1993.09.11,1165,1173,,7,7
,,Hunter Reese,,http://www.atpworldtour.com/en/players/hunter-reese/rc21/overview,USA,,1993.01.11,1166,1170,"Right-Handed, Two-Handed Backhand",7,7
"Berlin, Germany","Right-Handed, Two-Handed Backhand",Bastian Wagner,132,http://www.atpworldtour.com/en/players/bastian-wagner/w676/overview,GER,183,1994.07.16,1167,1171,"Berlin, Germany",7,7
"Yokohama, Japan","Right-Handed, Two-Handed Backhand",Yusuke Takahashi,150,http://www.atpworldtour.com/en/players/yusuke-takahashi/tf58/overview,JPN,170,1997.10.17,1167,1171,Japan,7,7
France,Right-Handed,Jules Marie,168,http://www.atpworldtour.com/en/players/jules-marie/mk26/overview,FRA,185,1991.09.01,1169,1178,France,8,7
,,Mirko Cutuli,,http://www.atpworldtour.com/en/players/mirko-cutuli/ck80/overview,ITA,,1996.05.16,1170,1173,,8,7
